"Tmu","TriNo","Code","Comnt"
200937500,820,1,"Trig. 820"
201634766,920,1,"Trig. 920"
203074219,720,1,"Trig. 720"
203761719,820,1,"Trig. 820"
205779297,711,1,"Trig. 711"
207253906,911,1,"Trig. 911"
208693359,710,1,"Trig. 710"
209380859,810,1,"Trig. 810"
210091797,910,1,"Trig. 910"
211197266,710,1,"Trig. 710"
211968750,810,1,"Trig. 810"
212660156,910,1,"Trig. 910"
214099609,710,1,"Trig. 710"
214800781,810,1,"Trig. 810"
215498047,910,1,"Trig. 910"
216816406,721,1,"Trig. 721"
217587891,821,1,"Trig. 821"
218279297,921,1,"Trig. 921"
219718750,720,1,"Trig. 720"
220419922,820,1,"Trig. 820"
221117188,920,1,"Trig. 920"
222509766,711,1,"Trig. 711"
223207031,811,1,"Trig. 811"
223898438,911,1,"Trig. 911"
225337891,710,1,"Trig. 710"
226039063,810,1,"Trig. 810"
226736328,910,1,"Trig. 910"
228175781,721,1,"Trig. 721"
228826172,821,1,"Trig. 821"
229517578,921,1,"Trig. 921"
230957031,720,1,"Trig. 720"
231583984,820,1,"Trig. 820"
232355469,920,1,"Trig. 920"
233748047,711,1,"Trig. 711"
234445313,811,1,"Trig. 811"
235136719,911,1,"Trig. 911"
236576172,721,1,"Trig. 721"
237203125,821,1,"Trig. 821"
237974609,921,1,"Trig. 921"
239414063,711,1,"Trig. 711"
240064453,811,1,"Trig. 811"
240755859,911,1,"Trig. 911"
242113281,710,1,"Trig. 710"
242822266,810,1,"Trig. 810"
243593750,910,1,"Trig. 910"
245033203,710,1,"Trig. 710"
245724609,810,1,"Trig. 810"
246425781,910,1,"Trig. 910"
247814453,710,1,"Trig. 710"
248441406,810,1,"Trig. 810"
249212891,910,1,"Trig. 910"
251179688,810,1,"Trig. 810"
252044922,910,1,"Trig. 910"
253287109,721,1,"Trig. 721"
254679688,921,1,"Trig. 921"
256810547,821,1,"Trig. 821"
258917969,720,1,"Trig. 720"
259595703,820,1,"Trig. 820"
260300781,920,1,"Trig. 920"
261730469,720,1,"Trig. 720"
262441406,820,1,"Trig. 820"
263128906,920,1,"Trig. 920"
264589844,711,1,"Trig. 711"
265960938,911,1,"Trig. 911"
267376953,710,1,"Trig. 710"
268044922,810,1,"Trig. 810"
268734375,910,1,"Trig. 910"
270255859,710,1,"Trig. 710"
270906250,810,1,"Trig. 810"
271601563,910,1,"Trig. 910"
272982422,710,1,"Trig. 710"
273738281,810,1,"Trig. 810"
274394531,910,1,"Trig. 910"
275828125,721,1,"Trig. 721"
276525391,821,1,"Trig. 821"
277220703,921,1,"Trig. 921"
279357422,821,1,"Trig. 821"
280054688,921,1,"Trig. 921"
