Tmu         ,Code,TriNo,Comnt,Time,Time_Diff,Trig_to_256,"Start=1, Stop=2",Manual_triggers,Sound_Triggers,,time_bw_triggers,,,,,,,total=750
0,41,2017-02-21T10:04:35.000,                                        ,0,#VALUE!,,,,,,0.11254434,avg,,,,,,1st stim=745
501953,1,252,Trig. 252                               ,0.501953,0.501953,,1,,,,0.081716107,sd,,,,,,2nd stim=746
517578,1,15,Trig. 15                                ,0.517578,0.015625,,,,,,0.001953,min,,,,,,3rd stim=746
683594,1,256,Trig. 256                               ,0.683594,0.166016,,,,,,0.332031,max,,,,,,
687500,1,256,Trig. 256                               ,0.6875,0.003906,,,,,,0.163086,median,,,,,,
867188,1,256,Trig. 256                               ,0.867188,0.179688,,,,,,,,,,,,,
1042969,1,256,Trig. 256                               ,1.042969,0.175781,,,,,,7,1st stim,,,,,,
1210938,1,16,Trig. 16                                ,1.210938,0.167969,,,,,,8,2nd stim,,,,,,
1558594,1,256,Trig. 256                               ,1.558594,0.347656,,,,,,9,3rd stim,,,,,,
1734375,1,256,Trig. 256                               ,1.734375,0.175781,,,,,,,,,,,,,
1912109,1,17,Trig. 17                                ,1.912109,0.177734,,,,,,1,stream 1,,,,,,
2085938,1,256,Trig. 256                               ,2.085938,0.173829,,,,,,3,stream 1 (up),,,,,,
2361328,1,256,Trig. 256                               ,2.361328,0.27539,,,,,,2,stream 2,,,,,,
2435547,1,256,Trig. 256                               ,2.435547,0.074219,,,,,,4,stream 2 (up),,,,,,
2847656,1,1,Trig. 1                                 ,2.847656,0.412109,,,1,,,,,,,,,,
2916016,1,2048,Trig. 2048                              ,2.916016,0.06836,,,,,,5,last block,,,,,,
2951172,1,3,Trig. 3                                 ,2.951172,0.035156,,,3,,,6,last block,,,,,,
3312500,1,252,Trig. 252                               ,3.3125,0.361328,,1,,,,,,,,,,,
3322266,1,7,Trig. 7                                 ,3.322266,0.009766,0.009766,,7,1,,,,,,,,,
3478516,1,256,Trig. 256                               ,3.478516,0.15625,,,,,,,,,,,,,
3648438,1,256,Trig. 256                               ,3.648438,0.169922,,,,,,,,,,,,,
3824219,1,256,Trig. 256                               ,3.824219,0.175781,,,,,,,,,,,,,
4021484,1,8,Trig. 8                                 ,4.021484,0.197265,0.197265,,8,2,,,,,,,,,
4175781,1,256,Trig. 256                               ,4.175781,0.154297,,,,,,,,,,,,,
4525391,1,256,Trig. 256                               ,4.525391,0.34961,,,,,,,,,,,,,
4720703,1,9,Trig. 9                                 ,4.720703,0.195312,0.195312,,9,3,,,,,,,,,
4863281,1,256,Trig. 256                               ,4.863281,0.142578,,,,,,,,,,,,,
4867188,1,256,Trig. 256                               ,4.867188,0.003907,,,,,,,,,,,,,
5046875,1,256,Trig. 256                               ,5.046875,0.179687,,,,,,,,,,,,,
5144531,1,256,Trig. 256                               ,5.144531,0.097656,,,,,,,,,,,,,
5222656,1,256,Trig. 256                               ,5.222656,0.078125,,,,,,,,,,,,,
5390625,1,1,Trig. 1                                 ,5.390625,0.167969,,,1,,,,,,,,,,
5449219,1,2048,Trig. 2048                              ,5.449219,0.058594,,,,,,,,,,,,,
5474609,1,3,Trig. 3                                 ,5.474609,0.02539,,,3,,,,,,,,,,
6121094,1,252,Trig. 252                               ,6.121094,0.646485,,1,,,,,,,,,,,
6144531,1,7,Trig. 7                                 ,6.144531,0.023437,0.023437,,7,1,,,,,,,,,
6302734,1,256,Trig. 256                               ,6.302734,0.158203,,,,,,,,,,,,,
6306641,1,256,Trig. 256                               ,6.306641,0.003907,,,,,,,,,,,,,
6486328,1,256,Trig. 256                               ,6.486328,0.179687,,,,,,,,,,,,,
6662109,1,256,Trig. 256                               ,6.662109,0.175781,,,,,,,,,,,,,
6830078,1,8,Trig. 8                                 ,6.830078,0.167969,0.167969,,8,2,,,,,,,,,
7177734,1,256,Trig. 256                               ,7.177734,0.347656,,,,,,,,,,,,,
7353516,1,256,Trig. 256                               ,7.353516,0.175782,,,,,,,,,,,,,
7531250,1,9,Trig. 9                                 ,7.53125,0.177734,0.177734,,9,3,,,,,,,,,
7705078,1,256,Trig. 256                               ,7.705078,0.173828,,,,,,,,,,,,,
7980469,1,256,Trig. 256                               ,7.980469,0.275391,,,,,,,,,,,,,
7988281,1,1,Trig. 1                                 ,7.988281,0.007812,0.007812,,1,,,,,,,,,,
8054688,1,256,Trig. 256                               ,8.054688,0.066407,,,,,,,,,,,,,
8066406,1,2048,Trig. 2048                              ,8.066406,0.011718,,,,,,,,,,,,,
8087891,1,3,Trig. 3                                 ,8.087891,0.021485,,,3,,,,,,,,,,
8931641,1,252,Trig. 252                               ,8.931641,0.84375,,1,,,,,,,,,,,
8949219,1,7,Trig. 7                                 ,8.949219,0.017578,0.017578,,7,1,,,,,,,,,
9097656,1,256,Trig. 256                               ,9.097656,0.148437,,,,,,,,,,,,,
9267578,1,256,Trig. 256                               ,9.267578,0.169922,,,,,,,,,,,,,
9443359,1,256,Trig. 256                               ,9.443359,0.175781,,,,,,,,,,,,,
9640625,1,8,Trig. 8                                 ,9.640625,0.197266,0.197266,,8,2,,,,,,,,,
9794922,1,256,Trig. 256                               ,9.794922,0.154297,,,,,,,,,,,,,
10144531,1,256,Trig. 256                               ,10.144531,0.349609,,,,,,,,,,,,,
10339844,1,9,Trig. 9                                 ,10.339844,0.195313,0.195313,,9,3,,,,,,,,,
10486328,1,256,Trig. 256                               ,10.486328,0.146484,,,,,,,,,,,,,
10666016,1,256,Trig. 256                               ,10.666016,0.179688,,,,,,,,,,,,,
10720703,1,2,Trig. 2                                 ,10.720703,0.054687,0.054687,,2,,,,,,,,,,
10763672,1,256,Trig. 256                               ,10.763672,0.042969,,,,,,,,,,,,,
10828125,1,4096,Trig. 4096                              ,10.828125,0.064453,,,,,,,,,,,,,
10832031,1,256,Trig. 256                               ,10.832031,0.003906,,,,,,,,,,,,,
10841797,1,256,Trig. 256                               ,10.841797,0.009766,,,,,,,,,,,,,
10853516,1,4,Trig. 4                                 ,10.853516,0.011719,,,4,,,,,,,,,,
11740234,1,252,Trig. 252                               ,11.740234,0.886718,,1,,,,,,,,,,,
11753906,1,7,Trig. 7                                 ,11.753906,0.013672,0.013672,,7,1,,,,,,,,,
11921875,1,256,Trig. 256                               ,11.921875,0.167969,,,,,,,,,,,,,
11925781,1,256,Trig. 256                               ,11.925781,0.003906,,,,,,,,,,,,,
12105469,1,256,Trig. 256                               ,12.105469,0.179688,,,,,,,,,,,,,
12281250,1,256,Trig. 256                               ,12.28125,0.175781,,,,,,,,,,,,,
12449219,1,8,Trig. 8                                 ,12.449219,0.167969,0.167969,,8,2,,,,,,,,,
12796875,1,256,Trig. 256                               ,12.796875,0.347656,,,,,,,,,,,,,
12972656,1,256,Trig. 256                               ,12.972656,0.175781,,,,,,,,,,,,,
13150391,1,9,Trig. 9                                 ,13.150391,0.177735,0.177735,,9,3,,,,,,,,,
13324219,1,256,Trig. 256                               ,13.324219,0.173828,,,,,,,,,,,,,
13632813,1,2,Trig. 2                                 ,13.632813,0.308594,0.308594,,2,,,,,,,,,,
13673828,1,256,Trig. 256                               ,13.673828,0.041015,,,,,,,,,,,,,
13728516,1,4096,Trig. 4096                              ,13.728516,0.054688,,,,,,,,,,,,,
13748047,1,4,Trig. 4                                 ,13.748047,0.019531,,,4,,,,,,,,,,
14550781,1,252,Trig. 252                               ,14.550781,0.802734,,1,,,,,,,,,,,
14560547,1,7,Trig. 7                                 ,14.560547,0.009766,0.009766,,7,1,,,,,,,,,
14716797,1,256,Trig. 256                               ,14.716797,0.15625,,,,,,,,,,,,,
14886719,1,256,Trig. 256                               ,14.886719,0.169922,,,,,,,,,,,,,
15062500,1,256,Trig. 256                               ,15.0625,0.175781,,,,,,,,,,,,,
15259766,1,8,Trig. 8                                 ,15.259766,0.197266,0.197266,,8,2,,,,,,,,,
15414063,1,256,Trig. 256                               ,15.414063,0.154297,,,,,,,,,,,,,
15763672,1,256,Trig. 256                               ,15.763672,0.349609,,,,,,,,,,,,,
15958984,1,9,Trig. 9                                 ,15.958984,0.195312,0.195312,,9,3,,,,,,,,,
16105469,1,256,Trig. 256                               ,16.105469,0.146485,,,,,,,,,,,,,
16285156,1,256,Trig. 256                               ,16.285156,0.179687,,,,,,,,,,,,,
16382813,1,256,Trig. 256                               ,16.382813,0.097657,,,,,,,,,,,,,
16451172,1,256,Trig. 256                               ,16.451172,0.068359,,,,,,,,,,,,,
16460938,1,256,Trig. 256                               ,16.460938,0.009766,,,,,,,,,,,,,
16771484,1,1,Trig. 1                                 ,16.771484,0.310546,,,1,,,,,,,,,,
16876953,1,2048,Trig. 2048                              ,16.876953,0.105469,,,,,,,,,,,,,
16908203,1,3,Trig. 3                                 ,16.908203,0.03125,,,3,,,,,,,,,,
17359375,1,252,Trig. 252                               ,17.359375,0.451172,,1,,,,,,,,,,,
17382813,1,7,Trig. 7                                 ,17.382813,0.023438,0.023438,,7,1,,,,,,,,,
17541016,1,256,Trig. 256                               ,17.541016,0.158203,,,,,,,,,,,,,
17544922,1,256,Trig. 256                               ,17.544922,0.003906,,,,,,,,,,,,,
17724609,1,256,Trig. 256                               ,17.724609,0.179687,,,,,,,,,,,,,
17900391,1,256,Trig. 256                               ,17.900391,0.175782,,,,,,,,,,,,,
18068359,1,8,Trig. 8                                 ,18.068359,0.167968,0.167968,,8,2,,,,,,,,,
18416016,1,256,Trig. 256                               ,18.416016,0.347657,,,,,,,,,,,,,
18591797,1,256,Trig. 256                               ,18.591797,0.175781,,,,,,,,,,,,,
18767578,1,9,Trig. 9                                 ,18.767578,0.175781,0.175781,,9,3,,,,,,,,,
18943359,1,256,Trig. 256                               ,18.943359,0.175781,,,,,,,,,,,,,
19292969,1,256,Trig. 256                               ,19.292969,0.34961,,,,,,,,,,,,,
19333984,1,1,Trig. 1                                 ,19.333984,0.041015,,,1,,,,,,,,,,
19423828,1,2048,Trig. 2048                              ,19.423828,0.089844,,,,,,,,,,,,,
19451172,1,3,Trig. 3                                 ,19.451172,0.027344,,,3,,,,,,,,,,
20167969,1,252,Trig. 252                               ,20.167969,0.716797,,1,,,,,,,,,,,
20187500,1,7,Trig. 7                                 ,20.1875,0.019531,0.019531,,7,1,,,,,,,,,
20335938,1,256,Trig. 256                               ,20.335938,0.148438,,,,,,,,,,,,,
20505859,1,256,Trig. 256                               ,20.505859,0.169921,,,,,,,,,,,,,
20681641,1,256,Trig. 256                               ,20.681641,0.175782,,,,,,,,,,,,,
20876953,1,8,Trig. 8                                 ,20.876953,0.195312,0.195312,,8,2,,,,,,,,,
21033203,1,256,Trig. 256                               ,21.033203,0.15625,,,,,,,,,,,,,
21382813,1,256,Trig. 256                               ,21.382813,0.34961,,,,,,,,,,,,,
21576172,1,9,Trig. 9                                 ,21.576172,0.193359,0.193359,,9,3,,,,,,,,,
21724609,1,256,Trig. 256                               ,21.724609,0.148437,,,,,,,,,,,,,
21904297,1,256,Trig. 256                               ,21.904297,0.179688,,,,,,,,,,,,,
22001953,1,256,Trig. 256                               ,22.001953,0.097656,,,,,,,,,,,,,
22070313,1,256,Trig. 256                               ,22.070313,0.06836,,,,,,,,,,,,,
22074219,1,256,Trig. 256                               ,22.074219,0.003906,,,,,,,,,,,,,
22080078,1,256,Trig. 256                               ,22.080078,0.005859,,,,,,,,,,,,,
22179688,1,2,Trig. 2                                 ,22.179688,0.09961,,,2,,,,,,,,,,
22265625,1,4096,Trig. 4096                              ,22.265625,0.085937,,,,,,,,,,,,,
22296875,1,4,Trig. 4                                 ,22.296875,0.03125,,,4,,,,,,,,,,
22976563,1,252,Trig. 252                               ,22.976563,0.679688,,1,,,,,,,,,,,
22992188,1,7,Trig. 7                                 ,22.992188,0.015625,0.015625,,7,1,,,,,,,,,
23160156,1,256,Trig. 256                               ,23.160156,0.167968,,,,,,,,,,,,,
23164063,1,256,Trig. 256                               ,23.164063,0.003907,,,,,,,,,,,,,
23343750,1,256,Trig. 256                               ,23.34375,0.179687,,,,,,,,,,,,,
23519531,1,256,Trig. 256                               ,23.519531,0.175781,,,,,,,,,,,,,
23685547,1,8,Trig. 8                                 ,23.685547,0.166016,0.166016,,8,2,,,,,,,,,
24035156,1,256,Trig. 256                               ,24.035156,0.349609,,,,,,,,,,,,,
24210938,1,256,Trig. 256                               ,24.210938,0.175782,,,,,,,,,,,,,
24386719,1,9,Trig. 9                                 ,24.386719,0.175781,0.175781,,9,3,,,,,,,,,
24562500,1,256,Trig. 256                               ,24.5625,0.175781,,,,,,,,,,,,,
24912109,1,256,Trig. 256                               ,24.912109,0.349609,,,,,,,,,,,,,
25113281,1,2,Trig. 2                                 ,25.113281,0.201172,,,2,,,,,,,,,,
25197266,1,4096,Trig. 4096                              ,25.197266,0.083985,,,,,,,,,,,,,
25216797,1,4,Trig. 4                                 ,25.216797,0.019531,,,4,,,,,,,,,,
25785156,1,252,Trig. 252                               ,25.785156,0.568359,,1,,,,,,,,,,,
25798828,1,7,Trig. 7                                 ,25.798828,0.013672,0.013672,,7,1,,,,,,,,,
25955078,1,256,Trig. 256                               ,25.955078,0.15625,,,,,,,,,,,,,
26125000,1,256,Trig. 256                               ,26.125,0.169922,,,,,,,,,,,,,
26300781,1,256,Trig. 256                               ,26.300781,0.175781,,,,,,,,,,,,,
26496094,1,8,Trig. 8                                 ,26.496094,0.195313,0.195313,,8,2,,,,,,,,,
26652344,1,256,Trig. 256                               ,26.652344,0.15625,,,,,,,,,,,,,
27001953,1,256,Trig. 256                               ,27.001953,0.349609,,,,,,,,,,,,,
27195313,1,9,Trig. 9                                 ,27.195313,0.19336,0.19336,,9,3,,,,,,,,,
27343750,1,256,Trig. 256                               ,27.34375,0.148437,,,,,,,,,,,,,
27523438,1,256,Trig. 256                               ,27.523438,0.179688,,,,,,,,,,,,,
27621094,1,256,Trig. 256                               ,27.621094,0.097656,,,,,,,,,,,,,
27689453,1,256,Trig. 256                               ,27.689453,0.068359,,,,,,,,,,,,,
27693359,1,256,Trig. 256                               ,27.693359,0.003906,,,,,,,,,,,,,
27699219,1,256,Trig. 256                               ,27.699219,0.00586,,,,,,,,,,,,,
28062500,1,2,Trig. 2                                 ,28.0625,0.363281,,,2,,,,,,,,,,
28160156,1,4096,Trig. 4096                              ,28.160156,0.097656,,,,,,,,,,,,,
28181641,1,4,Trig. 4                                 ,28.181641,0.021485,,,4,,,,,,,,,,
28595703,1,252,Trig. 252                               ,28.595703,0.414062,,1,,,,,,,,,,,
28619141,1,7,Trig. 7                                 ,28.619141,0.023438,0.023438,,7,1,,,,,,,,,
28779297,1,256,Trig. 256                               ,28.779297,0.160156,,,,,,,,,,,,,
28783203,1,256,Trig. 256                               ,28.783203,0.003906,,,,,,,,,,,,,
28962891,1,256,Trig. 256                               ,28.962891,0.179688,,,,,,,,,,,,,
29138672,1,256,Trig. 256                               ,29.138672,0.175781,,,,,,,,,,,,,
29304688,1,8,Trig. 8                                 ,29.304688,0.166016,0.166016,,8,2,,,,,,,,,
29654297,1,256,Trig. 256                               ,29.654297,0.349609,,,,,,,,,,,,,
29830078,1,256,Trig. 256                               ,29.830078,0.175781,,,,,,,,,,,,,
30005859,1,9,Trig. 9                                 ,30.005859,0.175781,0.175781,,9,3,,,,,,,,,
30181641,1,256,Trig. 256                               ,30.181641,0.175782,,,,,,,,,,,,,
30531250,1,256,Trig. 256                               ,30.53125,0.349609,,,,,,,,,,,,,
30703125,1,2,Trig. 2                                 ,30.703125,0.171875,,,2,,,,,,,,,,
30714844,1,14,Trig. 14                                ,30.714844,0.011719,,,,,,,,,,,,,
30792969,1,4096,Trig. 4096                              ,30.792969,0.078125,,,,,,,,,,,,,
30810547,1,4,Trig. 4                                 ,30.810547,0.017578,,,4,,,,,,,,,,
31416016,1,252,Trig. 252                               ,31.416016,0.605469,,1,,,,,,,,,,,
31441406,1,7,Trig. 7                                 ,31.441406,0.02539,0.02539,,7,1,,,,,,,,,
31621094,1,256,Trig. 256                               ,31.621094,0.179688,,,,,,,,,,,,,
31791016,1,256,Trig. 256                               ,31.791016,0.169922,,,,,,,,,,,,,
31970703,1,256,Trig. 256                               ,31.970703,0.179687,,,,,,,,,,,,,
32125000,1,8,Trig. 8                                 ,32.125,0.154297,0.154297,,8,2,,,,,,,,,
32271484,1,256,Trig. 256                               ,32.271484,0.146484,,,,,,,,,,,,,
32621094,1,256,Trig. 256                               ,32.621094,0.34961,,,,,,,,,,,,,
32826172,1,9,Trig. 9                                 ,32.826172,0.205078,0.205078,,9,3,,,,,,,,,
32962891,1,256,Trig. 256                               ,32.962891,0.136719,,,,,,,,,,,,,
33142578,1,256,Trig. 256                               ,33.142578,0.179687,,,,,,,,,,,,,
33236328,1,1,Trig. 1                                 ,33.236328,0.09375,0.09375,,1,,,,,,,,,,
33308594,1,256,Trig. 256                               ,33.308594,0.072266,,,,,,,,,,,,,
33312500,1,256,Trig. 256                               ,33.3125,0.003906,,,,,,,,,,,,,
33318359,1,256,Trig. 256                               ,33.318359,0.005859,,,,,,,,,,,,,
33347656,1,2048,Trig. 2048                              ,33.347656,0.029297,,,,,,,,,,,,,
33369141,1,3,Trig. 3                                 ,33.369141,0.021485,,,3,,,,,,,,,,
34224609,1,252,Trig. 252                               ,34.224609,0.855468,,1,,,,,,,,,,,
34248047,1,7,Trig. 7                                 ,34.248047,0.023438,0.023438,,7,1,,,,,,,,,
34398438,1,256,Trig. 256                               ,34.398438,0.150391,,,,,,,,,,,,,
34402344,1,256,Trig. 256                               ,34.402344,0.003906,,,,,,,,,,,,,
34582031,1,256,Trig. 256                               ,34.582031,0.179687,,,,,,,,,,,,,
34757813,1,256,Trig. 256                               ,34.757813,0.175782,,,,,,,,,,,,,
34933594,1,8,Trig. 8                                 ,34.933594,0.175781,0.175781,,8,2,,,,,,,,,
35273438,1,256,Trig. 256                               ,35.273438,0.339844,,,,,,,,,,,,,
35449219,1,256,Trig. 256                               ,35.449219,0.175781,,,,,,,,,,,,,
35634766,1,9,Trig. 9                                 ,35.634766,0.185547,0.185547,,9,3,,,,,,,,,
35800781,1,256,Trig. 256                               ,35.800781,0.166015,,,,,,,,,,,,,
36150391,1,256,Trig. 256                               ,36.150391,0.34961,,,,,,,,,,,,,
36246094,1,1,Trig. 1                                 ,36.246094,0.095703,,,1,,,,,,,,,,
36371094,1,2048,Trig. 2048                              ,36.371094,0.125,,,,,,,,,,,,,
36396484,1,3,Trig. 3                                 ,36.396484,0.02539,,,3,,,,,,,,,,
37035156,1,252,Trig. 252                               ,37.035156,0.638672,,1,,,,,,,,,,,
37052734,1,7,Trig. 7                                 ,37.052734,0.017578,0.017578,,7,1,,,,,,,,,
37193359,1,256,Trig. 256                               ,37.193359,0.140625,,,,,,,,,,,,,
37363281,1,256,Trig. 256                               ,37.363281,0.169922,,,,,,,,,,,,,
37539063,1,256,Trig. 256                               ,37.539063,0.175782,,,,,,,,,,,,,
37744141,1,8,Trig. 8                                 ,37.744141,0.205078,0.205078,,8,2,,,,,,,,,
37890625,1,256,Trig. 256                               ,37.890625,0.146484,,,,,,,,,,,,,
38240234,1,256,Trig. 256                               ,38.240234,0.349609,,,,,,,,,,,,,
38443359,1,9,Trig. 9                                 ,38.443359,0.203125,0.203125,,9,3,,,,,,,,,
38582031,1,256,Trig. 256                               ,38.582031,0.138672,,,,,,,,,,,,,
38761719,1,256,Trig. 256                               ,38.761719,0.179688,,,,,,,,,,,,,
38927734,1,256,Trig. 256                               ,38.927734,0.166015,,,,,,,,,,,,,
38931641,1,256,Trig. 256                               ,38.931641,0.003907,,,,,,,,,,,,,
38937500,1,256,Trig. 256                               ,38.9375,0.005859,,,,,,,,,,,,,
39113281,1,1,Trig. 1                                 ,39.113281,0.175781,,,1,,,,,,,,,,
39228516,1,2048,Trig. 2048                              ,39.228516,0.115235,,,,,,,,,,,,,
39248047,1,3,Trig. 3                                 ,39.248047,0.019531,,,3,,,,,,,,,,
39843750,1,252,Trig. 252                               ,39.84375,0.595703,,1,,,,,,,,,,,
39857422,1,7,Trig. 7                                 ,39.857422,0.013672,0.013672,,7,1,,,,,,,,,
40017578,1,256,Trig. 256                               ,40.017578,0.160156,,,,,,,,,,,,,
40021484,1,256,Trig. 256                               ,40.021484,0.003906,,,,,,,,,,,,,
40201172,1,256,Trig. 256                               ,40.201172,0.179688,,,,,,,,,,,,,
40376953,1,256,Trig. 256                               ,40.376953,0.175781,,,,,,,,,,,,,
40554688,1,8,Trig. 8                                 ,40.554688,0.177735,0.177735,,8,2,,,,,,,,,
40722656,1,256,Trig. 256                               ,40.722656,0.167968,,,,,,,,,,,,,
40892578,1,256,Trig. 256                               ,40.892578,0.169922,,,,,,,,,,,,,
41068359,1,256,Trig. 256                               ,41.068359,0.175781,,,,,,,,,,,,,
41253906,1,9,Trig. 9                                 ,41.253906,0.185547,0.185547,,9,3,,,,,,,,,
41419922,1,256,Trig. 256                               ,41.419922,0.166016,,,,,,,,,,,,,
41769531,1,256,Trig. 256                               ,41.769531,0.349609,,,,,,,,,,,,,
42007813,1,1,Trig. 1                                 ,42.007813,0.238282,,,1,,,,,,,,,,
42082031,1,2048,Trig. 2048                              ,42.082031,0.074218,,,,,,,,,,,,,
42107422,1,3,Trig. 3                                 ,42.107422,0.025391,,,3,,,,,,,,,,
42656250,1,14,Trig. 14                                ,42.65625,0.548828,,,,,,,,,,,,,
42666016,1,252,Trig. 252                               ,42.666016,0.009766,,1,,,,,,,,,,,
42679688,1,7,Trig. 7                                 ,42.679688,0.013672,0.013672,,7,1,,,,,,,,,
42859375,1,256,Trig. 256                               ,42.859375,0.179687,,,,,,,,,,,,,
43029297,1,256,Trig. 256                               ,43.029297,0.169922,,,,,,,,,,,,,
43208984,1,256,Trig. 256                               ,43.208984,0.179687,,,,,,,,,,,,,
43375000,1,8,Trig. 8                                 ,43.375,0.166016,0.166016,,8,2,,,,,,,,,
43546875,1,256,Trig. 256                               ,43.546875,0.171875,,,,,,,,,,,,,
43550781,1,256,Trig. 256                               ,43.550781,0.003906,,,,,,,,,,,,,
43730469,1,256,Trig. 256                               ,43.730469,0.179688,,,,,,,,,,,,,
43906250,1,256,Trig. 256                               ,43.90625,0.175781,,,,,,,,,,,,,
44076172,1,9,Trig. 9                                 ,44.076172,0.169922,0.169922,,9,3,,,,,,,,,
44421875,1,256,Trig. 256                               ,44.421875,0.345703,,,,,,,,,,,,,
44597656,1,256,Trig. 256                               ,44.597656,0.175781,,,,,,,,,,,,,
44697266,1,1,Trig. 1                                 ,44.697266,0.09961,,,1,,,,,,,,,,
44794922,1,2048,Trig. 2048                              ,44.794922,0.097656,,,,,,,,,,,,,
44814453,1,3,Trig. 3                                 ,44.814453,0.019531,,,3,,,,,,,,,,
45476563,1,252,Trig. 252                               ,45.476563,0.66211,,1,,,,,,,,,,,
45501953,1,7,Trig. 7                                 ,45.501953,0.02539,0.02539,,7,1,,,,,,,,,
45636719,1,256,Trig. 256                               ,45.636719,0.134766,,,,,,,,,,,,,
45640625,1,256,Trig. 256                               ,45.640625,0.003906,,,,,,,,,,,,,
45820313,1,256,Trig. 256                               ,45.820313,0.179688,,,,,,,,,,,,,
45996094,1,256,Trig. 256                               ,45.996094,0.175781,,,,,,,,,,,,,
46185547,1,8,Trig. 8                                 ,46.185547,0.189453,0.189453,,8,2,,,,,,,,,
46341797,1,256,Trig. 256                               ,46.341797,0.15625,,,,,,,,,,,,,
46511719,1,256,Trig. 256                               ,46.511719,0.169922,,,,,,,,,,,,,
46687500,1,256,Trig. 256                               ,46.6875,0.175781,,,,,,,,,,,,,
46886719,1,9,Trig. 9                                 ,46.886719,0.199219,0.199219,,9,3,,,,,,,,,
47039063,1,256,Trig. 256                               ,47.039063,0.152344,,,,,,,,,,,,,
47388672,1,256,Trig. 256                               ,47.388672,0.349609,,,,,,,,,,,,,
47394531,1,256,Trig. 256                               ,47.394531,0.005859,,,,,,,,,,,,,
47490234,1,1,Trig. 1                                 ,47.490234,0.095703,,,1,,,,,,,,,,
47587891,1,2048,Trig. 2048                              ,47.587891,0.097657,,,,,,,,,,,,,
47623047,1,3,Trig. 3                                 ,47.623047,0.035156,,,3,,,,,,,,,,
48287109,1,252,Trig. 252                               ,48.287109,0.664062,,1,,,,,,,,,,,
48306641,1,7,Trig. 7                                 ,48.306641,0.019532,0.019532,,7,1,,,,,,,,,
48478516,1,256,Trig. 256                               ,48.478516,0.171875,,,,,,,,,,,,,
48648438,1,256,Trig. 256                               ,48.648438,0.169922,,,,,,,,,,,,,
48828125,1,256,Trig. 256                               ,48.828125,0.179687,,,,,,,,,,,,,
48996094,1,8,Trig. 8                                 ,48.996094,0.167969,0.167969,,8,2,,,,,,,,,
49166016,1,256,Trig. 256                               ,49.166016,0.169922,,,,,,,,,,,,,
49169922,1,256,Trig. 256                               ,49.169922,0.003906,,,,,,,,,,,,,
49349609,1,256,Trig. 256                               ,49.349609,0.179687,,,,,,,,,,,,,
49525391,1,256,Trig. 256                               ,49.525391,0.175782,,,,,,,,,,,,,
49697266,1,9,Trig. 9                                 ,49.697266,0.171875,0.171875,,9,3,,,,,,,,,
50041016,1,256,Trig. 256                               ,50.041016,0.34375,,,,,,,,,,,,,
50216797,1,256,Trig. 256                               ,50.216797,0.175781,,,,,,,,,,,,,
50259766,1,2,Trig. 2                                 ,50.259766,0.042969,,,2,,,,,,,,,,
50376953,1,4096,Trig. 4096                              ,50.376953,0.117187,,,,,,,,,,,,,
50392578,1,4,Trig. 4                                 ,50.392578,0.015625,,,4,,,,,,,,,,
50402344,1,14,Trig. 14                                ,50.402344,0.009766,,,,,,,,,,,,,
51101563,1,252,Trig. 252                               ,51.101563,0.699219,,1,,,,,,,,,,,
51113281,1,7,Trig. 7                                 ,51.113281,0.011718,0.011718,,7,1,,,,,,,,,
51255859,1,256,Trig. 256                               ,51.255859,0.142578,,,,,,,,,,,,,
51259766,1,256,Trig. 256                               ,51.259766,0.003907,,,,,,,,,,,,,
51439453,1,256,Trig. 256                               ,51.439453,0.179687,,,,,,,,,,,,,
51615234,1,256,Trig. 256                               ,51.615234,0.175781,,,,,,,,,,,,,
51810547,1,8,Trig. 8                                 ,51.810547,0.195313,0.195313,,8,2,,,,,,,,,
51960938,1,256,Trig. 256                               ,51.960938,0.150391,,,,,,,,,,,,,
52130859,1,256,Trig. 256                               ,52.130859,0.169921,,,,,,,,,,,,,
52306641,1,256,Trig. 256                               ,52.306641,0.175782,,,,,,,,,,,,,
52511719,1,9,Trig. 9                                 ,52.511719,0.205078,0.205078,,9,3,,,,,,,,,
52658203,1,256,Trig. 256                               ,52.658203,0.146484,,,,,,,,,,,,,
53007813,1,256,Trig. 256                               ,53.007813,0.34961,,,,,,,,,,,,,
53070313,1,2,Trig. 2                                 ,53.070313,0.0625,,,2,,,,,,,,,,
53185547,1,4096,Trig. 4096                              ,53.185547,0.115234,,,,,,,,,,,,,
53205078,1,4,Trig. 4                                 ,53.205078,0.019531,,,4,,,,,,,,,,
53214844,1,14,Trig. 14                                ,53.214844,0.009766,,,,,,,,,,,,,
53916016,1,252,Trig. 252                               ,53.916016,0.701172,,1,,,,,,,,,,,
53935547,1,7,Trig. 7                                 ,53.935547,0.019531,0.019531,,7,1,,,,,,,,,
54097656,1,256,Trig. 256                               ,54.097656,0.162109,,,,,,,,,,,,,
54267578,1,256,Trig. 256                               ,54.267578,0.169922,,,,,,,,,,,,,
54447266,1,256,Trig. 256                               ,54.447266,0.179688,,,,,,,,,,,,,
54453125,1,256,Trig. 256                               ,54.453125,0.005859,,,,,,,,,,,,,
54625000,1,8,Trig. 8                                 ,54.625,0.171875,0.171875,,8,2,,,,,,,,,
54785156,1,256,Trig. 256                               ,54.785156,0.160156,,,,,,,,,,,,,
54789063,1,256,Trig. 256                               ,54.789063,0.003907,,,,,,,,,,,,,
