psych_version,start_date,start_time,offset,trial,time,sid,condition,version,separation,code,stimulus,phase,value
0.2.1+,2017-01-23,13:45:18,1,0,0.0381699711397232,0007,pilot,0.0.5,8st,instructions,,,
0.2.1+,2017-01-23,13:45:18,1,0,99.43459113427889,0007,pilot,0.0.5,8st,paused,,,
0.2.1+,2017-01-23,13:45:18,1,0,102.18901506363545,0007,pilot,0.0.5,8st,paused,,,
0.2.1+,2017-01-23,13:45:18,1,0,104.53310564391904,0007,pilot,0.0.5,8st,unpaused,,,
0.2.1+,2017-01-23,13:45:18,1,0,183.82930034950732,0007,pilot,0.0.5,8st,instructions,,,
0.2.1+,2017-01-23,13:45:18,2,0,187.17653526106187,0007,pilot,0.0.5,8st,practice_start,,,
0.2.1+,2017-01-23,13:45:18,2,0,187.1838949603789,0007,pilot,0.0.5,8st,stimulus,low,practice,
0.2.1+,2017-01-23,13:45:18,2,0,187.76298332672923,0007,pilot,0.0.5,8st,stimulus,low,practice,
0.2.1+,2017-01-23,13:45:18,2,0,188.34065470800851,0007,pilot,0.0.5,8st,stimulus,low,practice,
0.2.1+,2017-01-23,13:45:18,2,0,188.91739774336202,0007,pilot,0.0.5,8st,stimulus,low,practice,
0.2.1+,2017-01-23,13:45:18,2,0,189.49354674682036,0007,pilot,0.0.5,8st,stimulus,low,practice,
0.2.1+,2017-01-23,13:45:18,2,0,190.06970225177793,0007,pilot,0.0.5,8st,stimulus,low,practice,
0.2.1+,2017-01-23,13:45:18,2,0,190.64585330834052,0007,pilot,0.0.5,8st,stimulus,low,practice,
0.2.1+,2017-01-23,13:45:18,2,0,191.22200915548092,0007,pilot,0.0.5,8st,stimulus,low,practice,
0.2.1+,2017-01-23,13:45:18,2,0,191.79823172855686,0007,pilot,0.0.5,8st,stimulus,low,practice,
0.2.1+,2017-01-23,13:45:18,2,0,192.37435677911526,0007,pilot,0.0.5,8st,stimulus,low,practice,
0.2.1+,2017-01-23,13:45:18,2,0,192.95051331062677,0007,pilot,0.0.5,8st,stimulus,low,practice,
0.2.1+,2017-01-23,13:45:18,2,0,193.52676360062833,0007,pilot,0.0.5,8st,stimulus,low,practice,
0.2.1+,2017-01-23,13:45:18,2,0,194.1029259492716,0007,pilot,0.0.5,8st,stimulus,low,practice,
0.2.1+,2017-01-23,13:45:18,2,0,194.67906674030564,0007,pilot,0.0.5,8st,stimulus,low,practice,
0.2.1+,2017-01-23,13:45:18,2,0,195.25520650478575,0007,pilot,0.0.5,8st,stimulus,low,practice,
0.2.1+,2017-01-23,13:45:18,2,0,195.83367414886925,0007,pilot,0.0.5,8st,stimulus,low,practice,
0.2.1+,2017-01-23,13:45:18,2,0,196.413986508358,0007,pilot,0.0.5,8st,stimulus,low,practice,
0.2.1+,2017-01-23,13:45:18,2,0,196.99426054320975,0007,pilot,0.0.5,8st,stimulus,low,practice,
0.2.1+,2017-01-23,13:45:18,2,0,197.5704211809334,0007,pilot,0.0.5,8st,stimulus,low,practice,
0.2.1+,2017-01-23,13:45:18,2,0,198.14657257968065,0007,pilot,0.0.5,8st,stimulus,low,practice,
0.2.1+,2017-01-23,13:45:18,2,0,198.72273219084855,0007,pilot,0.0.5,8st,stimulus,low,practice,
0.2.1+,2017-01-23,13:45:18,2,0,199.29886134761728,0007,pilot,0.0.5,8st,stimulus,low,practice,
0.2.1+,2017-01-23,13:45:18,2,0,199.87503909455336,0007,pilot,0.0.5,8st,stimulus,low,practice,
0.2.1+,2017-01-23,13:45:18,2,0,200.4511836496149,0007,pilot,0.0.5,8st,stimulus,low,practice,
0.2.1+,2017-01-23,13:45:18,2,0,201.02733025777889,0007,pilot,0.0.5,8st,stimulus,low,practice,
0.2.1+,2017-01-23,13:45:18,2,0,201.6071710873457,0007,pilot,0.0.5,8st,stimulus,low,practice,
0.2.1+,2017-01-23,13:45:18,2,0,202.18332043298687,0007,pilot,0.0.5,8st,stimulus,low,practice,
0.2.1+,2017-01-23,13:45:18,2,0,202.75950262831793,0007,pilot,0.0.5,8st,stimulus,low,practice,
0.2.1+,2017-01-23,13:45:18,2,0,203.33570672344285,0007,pilot,0.0.5,8st,stimulus,low,practice,
0.2.1+,2017-01-23,13:45:18,2,0,203.91188036416497,0007,pilot,0.0.5,8st,stimulus,low,practice,
0.2.1+,2017-01-23,13:45:18,3,0,204.48808377492242,0007,pilot,0.0.5,8st,instructions,,,
0.2.1+,2017-01-23,13:45:18,4,0,228.86225645889863,0007,pilot,0.0.5,8st,practice_start,,,
0.2.1+,2017-01-23,13:45:18,4,0,228.86446286308274,0007,pilot,0.0.5,8st,stimulus,high,practice,
0.2.1+,2017-01-23,13:45:18,4,0,229.44061768367283,0007,pilot,0.0.5,8st,stimulus,high,practice,
0.2.1+,2017-01-23,13:45:18,4,0,230.01787775945922,0007,pilot,0.0.5,8st,stimulus,high,practice,
0.2.1+,2017-01-23,13:45:18,4,0,230.59465261794867,0007,pilot,0.0.5,8st,stimulus,high,practice,
0.2.1+,2017-01-23,13:45:18,4,0,231.17087861286927,0007,pilot,0.0.5,8st,stimulus,high,practice,
0.2.1+,2017-01-23,13:45:18,4,0,231.7470392505893,0007,pilot,0.0.5,8st,stimulus,high,practice,
0.2.1+,2017-01-23,13:45:18,4,0,232.3231796994387,0007,pilot,0.0.5,8st,stimulus,high,practice,
0.2.1+,2017-01-23,13:45:18,4,0,232.89934786521553,0007,pilot,0.0.5,8st,stimulus,high,practice,
0.2.1+,2017-01-23,13:45:18,4,0,233.47861587830812,0007,pilot,0.0.5,8st,stimulus,high,practice,
0.2.1+,2017-01-23,13:45:18,4,0,234.05475187876254,0007,pilot,0.0.5,8st,stimulus,high,practice,
0.2.1+,2017-01-23,13:45:18,4,0,234.63091012119548,0007,pilot,0.0.5,8st,stimulus,high,practice,
0.2.1+,2017-01-23,13:45:18,4,0,235.207082050998,0007,pilot,0.0.5,8st,stimulus,high,practice,
0.2.1+,2017-01-23,13:45:18,4,0,235.78523796520676,0007,pilot,0.0.5,8st,stimulus,high,practice,
0.2.1+,2017-01-23,13:45:18,4,0,236.36138833740188,0007,pilot,0.0.5,8st,stimulus,high,practice,
0.2.1+,2017-01-23,13:45:18,4,0,236.93754555328087,0007,pilot,0.0.5,8st,stimulus,high,practice,
0.2.1+,2017-01-23,13:45:18,4,0,237.51585784570307,0007,pilot,0.0.5,8st,stimulus,high,practice,
0.2.1+,2017-01-23,13:45:18,4,0,238.0919969258157,0007,pilot,0.0.5,8st,stimulus,high,practice,
0.2.1+,2017-01-23,13:45:18,4,0,238.66815619480076,0007,pilot,0.0.5,8st,stimulus,high,practice,
0.2.1+,2017-01-23,13:45:18,4,0,239.24432607149902,0007,pilot,0.0.5,8st,stimulus,high,practice,
0.2.1+,2017-01-23,13:45:18,4,0,239.8231376107742,0007,pilot,0.0.5,8st,stimulus,high,practice,
0.2.1+,2017-01-23,13:45:18,4,0,240.39935470890123,0007,pilot,0.0.5,8st,stimulus,high,practice,
0.2.1+,2017-01-23,13:45:18,4,0,240.97552834962516,0007,pilot,0.0.5,8st,stimulus,high,practice,
0.2.1+,2017-01-23,13:45:18,4,0,241.55167872181846,0007,pilot,0.0.5,8st,stimulus,high,practice,
0.2.1+,2017-01-23,13:45:18,4,0,242.12780650985042,0007,pilot,0.0.5,8st,stimulus,high,practice,
0.2.1+,2017-01-23,13:45:18,4,0,242.70397022723046,0007,pilot,0.0.5,8st,stimulus,high,practice,
0.2.1+,2017-01-23,13:45:18,4,0,243.28012196816235,0007,pilot,0.0.5,8st,stimulus,high,practice,
0.2.1+,2017-01-23,13:45:18,4,0,243.85962471966377,0007,pilot,0.0.5,8st,stimulus,high,practice,
0.2.1+,2017-01-23,13:45:18,4,0,244.43576927472714,0007,pilot,0.0.5,8st,stimulus,high,practice,
0.2.1+,2017-01-23,13:45:18,4,0,245.01192649060613,0007,pilot,0.0.5,8st,stimulus,high,practice,
0.2.1+,2017-01-23,13:45:18,4,0,245.58809362982902,0007,pilot,0.0.5,8st,stimulus,high,practice,
0.2.1+,2017-01-23,13:45:18,5,0,246.16429806713677,0007,pilot,0.0.5,8st,instructions,,,
0.2.1+,2017-01-23,13:45:18,5,0,303.80772734209677,0007,pilot,0.0.5,8st,instructions,,,
0.2.1+,2017-01-23,13:45:18,6,0,319.77033378706983,0007,pilot,0.0.5,8st,practice_start,,,
0.2.1+,2017-01-23,13:45:18,6,0,319.77758022339367,0007,pilot,0.0.5,8st,stimulus,medium,practice,
0.2.1+,2017-01-23,13:45:18,6,0,320.3537350439801,0007,pilot,0.0.5,8st,stimulus,medium,practice,
0.2.1+,2017-01-23,13:45:18,6,0,321.72991361215827,0007,pilot,0.0.5,8st,stream_2,,practice,
0.2.1+,2017-01-23,13:45:18,6,0,322.0197943335643,0007,pilot,0.0.5,8st,stimulus,medium,practice,
0.2.1+,2017-01-23,13:45:18,6,0,322.5959378620737,0007,pilot,0.0.5,8st,stimulus,medium,practice,
0.2.1+,2017-01-23,13:45:18,6,0,324.53137111184515,0007,pilot,0.0.5,8st,stream_2,,practice,
0.2.1+,2017-01-23,13:45:18,6,0,324.53379103901534,0007,pilot,0.0.5,8st,stimulus,medium,practice,
0.2.1+,2017-01-23,13:45:18,6,0,325.1099294347605,0007,pilot,0.0.5,8st,stimulus,medium,practice,
0.2.1+,2017-01-23,13:45:18,6,0,326.40771940342165,0007,pilot,0.0.5,8st,stream_1,,practice,
0.2.1+,2017-01-23,13:45:18,6,0,326.40962639636746,0007,pilot,0.0.5,8st,stimulus,medium,practice,
0.2.1+,2017-01-23,13:45:18,6,0,326.9857709514308,0007,pilot,0.0.5,8st,stimulus,medium,practice,
0.2.1+,2017-01-23,13:45:18,6,0,327.79378983452625,0007,pilot,0.0.5,8st,stream_1,,practice,
0.2.1+,2017-01-23,13:45:18,6,0,328.1378971818376,0007,pilot,0.0.5,8st,stimulus,medium,practice,
0.2.1+,2017-01-23,13:45:18,6,0,328.7140448165592,0007,pilot,0.0.5,8st,stimulus,medium,practice,
0.2.1+,2017-01-23,13:45:18,6,0,329.961817368041,0007,pilot,0.0.5,8st,stream_1,,practice,
0.2.1+,2017-01-23,13:45:18,6,0,329.9636720067938,0007,pilot,0.0.5,8st,stimulus,medium,practice,
0.2.1+,2017-01-23,13:45:18,6,0,330.5398299070421,0007,pilot,0.0.5,8st,stimulus,medium,practice,
0.2.1+,2017-01-23,13:45:18,6,0,331.453224436611,0007,pilot,0.0.5,8st,stream_1,,practice,
0.2.1+,2017-01-23,13:45:18,6,0,331.69193594857825,0007,pilot,0.0.5,8st,stimulus,medium,practice,
0.2.1+,2017-01-23,13:45:18,6,0,332.2680568929263,0007,pilot,0.0.5,8st,stimulus,medium,practice,
0.2.1+,2017-01-23,13:45:18,6,0,333.04461295879264,0007,pilot,0.0.5,8st,stream_1,,practice,
0.2.1+,2017-01-23,13:45:18,6,0,333.42013658627366,0007,pilot,0.0.5,8st,stimulus,medium,practice,
0.2.1+,2017-01-23,13:45:18,6,0,333.99999144539106,0007,pilot,0.0.5,8st,stimulus,medium,practice,
0.2.1+,2017-01-23,13:45:18,6,0,334.76328992383606,0007,pilot,0.0.5,8st,stream_1,,practice,
0.2.1+,2017-01-23,13:45:18,6,0,335.1482082204984,0007,pilot,0.0.5,8st,stimulus,medium,practice,
0.2.1+,2017-01-23,13:45:18,6,0,335.72435722395494,0007,pilot,0.0.5,8st,stimulus,medium,practice,
0.2.1+,2017-01-23,13:45:18,6,0,336.52192135099904,0007,pilot,0.0.5,8st,stream_1,,practice,
0.2.1+,2017-01-23,13:45:18,6,0,336.8763773772407,0007,pilot,0.0.5,8st,stimulus,medium,practice,
0.2.1+,2017-01-23,13:45:18,6,0,337.45253117127686,0007,pilot,0.0.5,8st,stimulus,medium,practice,
0.2.1+,2017-01-23,13:45:18,6,0,338.166093165828,0007,pilot,0.0.5,8st,stream_1,,practice,
0.2.1+,2017-01-23,13:45:18,6,0,338.60456535411686,0007,pilot,0.0.5,8st,stimulus,medium,practice,
0.2.1+,2017-01-23,13:45:18,6,0,339.18072188562655,0007,pilot,0.0.5,8st,stimulus,medium,practice,
0.2.1+,2017-01-23,13:45:18,6,0,340.033374942941,0007,pilot,0.0.5,8st,stream_1,,practice,
0.2.1+,2017-01-23,13:45:18,6,0,340.33277967918184,0007,pilot,0.0.5,8st,stimulus,medium,practice,
0.2.1+,2017-01-23,13:45:18,6,0,340.90890267663417,0007,pilot,0.0.5,8st,stimulus,medium,practice,
0.2.1+,2017-01-23,13:45:18,6,0,341.6534511679092,0007,pilot,0.0.5,8st,stream_1,,practice,
0.2.1+,2017-01-23,13:45:18,6,0,342.0609457562641,0007,pilot,0.0.5,8st,stimulus,medium,practice,
0.2.1+,2017-01-23,13:45:18,6,0,342.6411845461371,0007,pilot,0.0.5,8st,stimulus,medium,practice,
0.2.1+,2017-01-23,13:45:18,6,0,343.5350016869688,0007,pilot,0.0.5,8st,stream_1,,practice,
0.2.1+,2017-01-23,13:45:18,6,0,343.7890197857796,0007,pilot,0.0.5,8st,stimulus,medium,practice,
0.2.1+,2017-01-23,13:45:18,6,0,344.36518213442287,0007,pilot,0.0.5,8st,stimulus,medium,practice,
0.2.1+,2017-01-23,13:45:18,6,0,345.3302618873113,0007,pilot,0.0.5,8st,stream_1,,practice,
0.2.1+,2017-01-23,13:45:18,6,0,345.51724711384486,0007,pilot,0.0.5,8st,stimulus,medium,practice,
0.2.1+,2017-01-23,13:45:18,6,0,346.093370111299,0007,pilot,0.0.5,8st,stimulus,medium,practice,
0.2.1+,2017-01-23,13:45:18,6,0,347.1960999889816,0007,pilot,0.0.5,8st,stream_1,,practice,
0.2.1+,2017-01-23,13:45:18,6,0,347.2454149018504,0007,pilot,0.0.5,8st,stimulus,medium,practice,
0.2.1+,2017-01-23,13:45:18,6,0,347.82157040680795,0007,pilot,0.0.5,8st,stimulus,medium,practice,
0.2.1+,2017-01-23,13:45:18,6,0,349.14618762237296,0007,pilot,0.0.5,8st,stream_1,,practice,
0.2.1+,2017-01-23,13:45:18,6,0,349.1482044564691,0007,pilot,0.0.5,8st,stimulus,medium,practice,
