psych_version,start_date,start_time,offset,trial,time,sid,condition,version,separation,code,stimulus,phase,value
0.2.1+,2017-01-23,12:37:23,1,0,0.041806649505815585,0006,pilot,0.0.5,8st,instructions,,,
0.2.1+,2017-01-23,12:37:23,1,0,0.041806649505815585,0006,pilot,0.0.5,8st,paused,,,
0.2.1+,2017-01-23,12:37:23,1,0,2.1791292171928944,0006,pilot,0.0.5,8st,paused,,,
0.2.1+,2017-01-23,12:37:23,1,0,4.077218857766638,0006,pilot,0.0.5,8st,unpaused,,,
0.2.1+,2017-01-23,12:37:23,1,0,81.72845781283831,0006,pilot,0.0.5,8st,instructions,,,
0.2.1+,2017-01-23,12:37:23,2,0,85.31670363422563,0006,pilot,0.0.5,8st,practice_start,,,
0.2.1+,2017-01-23,12:37:23,2,0,85.32289926504927,0006,pilot,0.0.5,8st,stimulus,low,practice,
0.2.1+,2017-01-23,12:37:23,2,0,85.90142151162763,0006,pilot,0.0.5,8st,stimulus,low,practice,
0.2.1+,2017-01-23,12:37:23,2,0,86.47756795655005,0006,pilot,0.0.5,8st,stimulus,low,practice,
0.2.1+,2017-01-23,12:37:23,2,0,87.05373082642654,0006,pilot,0.0.5,8st,stimulus,low,practice,
0.2.1+,2017-01-23,12:37:23,2,0,87.62987966665605,0006,pilot,0.0.5,8st,stimulus,low,practice,
0.2.1+,2017-01-23,12:37:23,2,0,88.20603569279956,0006,pilot,0.0.5,8st,stimulus,low,practice,
0.2.1+,2017-01-23,12:37:23,2,0,88.78574806442157,0006,pilot,0.0.5,8st,stimulus,low,practice,
0.2.1+,2017-01-23,12:37:23,2,0,89.36187226721086,0006,pilot,0.0.5,8st,stimulus,low,practice,
0.2.1+,2017-01-23,12:37:23,2,0,89.93800126061433,0006,pilot,0.0.5,8st,stimulus,low,practice,
0.2.1+,2017-01-23,12:37:23,2,0,90.51432222070798,0006,pilot,0.0.5,8st,stimulus,low,practice,
0.2.1+,2017-01-23,12:37:23,2,0,91.0904772202939,0006,pilot,0.0.5,8st,stimulus,low,practice,
0.2.1+,2017-01-23,12:37:23,2,0,91.66659868559145,0006,pilot,0.0.5,8st,stimulus,low,practice,
0.2.1+,2017-01-23,12:37:23,2,0,92.24274855238036,0006,pilot,0.0.5,8st,stimulus,low,practice,
0.2.1+,2017-01-23,12:37:23,2,0,92.8189630924353,0006,pilot,0.0.5,8st,stimulus,low,practice,
0.2.1+,2017-01-23,12:37:23,2,0,93.39509071709108,0006,pilot,0.0.5,8st,stimulus,low,practice,
0.2.1+,2017-01-23,12:37:23,2,0,93.97126556350304,0006,pilot,0.0.5,8st,stimulus,low,practice,
0.2.1+,2017-01-23,12:37:23,2,0,94.55184298288077,0006,pilot,0.0.5,8st,stimulus,low,practice,
0.2.1+,2017-01-23,12:37:23,2,0,95.12796958097897,0006,pilot,0.0.5,8st,stimulus,low,practice,
0.2.1+,2017-01-23,12:37:23,2,0,95.70410918216476,0006,pilot,0.0.5,8st,stimulus,low,practice,
0.2.1+,2017-01-23,12:37:23,2,0,96.28023851775652,0006,pilot,0.0.5,8st,stimulus,low,practice,
0.2.1+,2017-01-23,12:37:23,2,0,96.85638906891472,0006,pilot,0.0.5,8st,stimulus,low,practice,
