psych_version,start_date,start_time,offset,trial,time,sid,condition,version,code,stimulus,phase
0.2.1,2017-01-09,11:26:07,1,0,6.0646071434021,abin,pilot,0.0.3,instructions,,
0.2.1,2017-01-09,11:26:07,1,0,6.0646071434021,abin,pilot,0.0.3,bad_delta_latency(5.934687995910645),,
0.2.1,2017-01-09,11:26:07,1,0,9.233158111572266,abin,pilot,0.0.3,instructions,,
0.2.1,2017-01-09,11:26:07,2,0,11.283262014389038,abin,pilot,0.0.3,practice_start,,
0.2.1,2017-01-09,11:26:07,2,0,11.285452127456665,abin,pilot,0.0.3,stimulus,low,practice
0.2.1,2017-01-09,11:26:07,2,0,11.861804008483887,abin,pilot,0.0.3,stimulus,low,practice
0.2.1,2017-01-09,11:26:07,2,0,12.439563035964966,abin,pilot,0.0.3,stimulus,low,practice
0.2.1,2017-01-09,11:26:07,2,0,12.439563035964966,abin,pilot,0.0.3,good_delta_latency(0.00025794410705559656),,
0.2.1,2017-01-09,11:26:07,2,0,13.016979932785034,abin,pilot,0.0.3,stimulus,low,practice
0.2.1,2017-01-09,11:26:07,2,0,13.59421992301941,abin,pilot,0.0.3,stimulus,low,practice
0.2.1,2017-01-09,11:26:07,2,0,14.171316146850586,abin,pilot,0.0.3,stimulus,low,practice
0.2.1,2017-01-09,11:26:07,2,0,14.748908996582031,abin,pilot,0.0.3,stimulus,low,practice
0.2.1,2017-01-09,11:26:07,2,0,15.326107025146484,abin,pilot,0.0.3,stimulus,low,practice
0.2.1,2017-01-09,11:26:07,2,0,15.903219938278198,abin,pilot,0.0.3,stimulus,low,practice
0.2.1,2017-01-09,11:26:07,2,0,16.48008704185486,abin,pilot,0.0.3,stimulus,low,practice
0.2.1,2017-01-09,11:26:07,2,0,17.056828022003174,abin,pilot,0.0.3,stimulus,low,practice
0.2.1,2017-01-09,11:26:07,2,0,17.63476300239563,abin,pilot,0.0.3,stimulus,low,practice
0.2.1,2017-01-09,11:26:07,2,0,18.212998151779175,abin,pilot,0.0.3,stimulus,low,practice
0.2.1,2017-01-09,11:26:07,2,0,18.789942026138306,abin,pilot,0.0.3,stimulus,low,practice
0.2.1,2017-01-09,11:26:07,2,0,19.366749048233032,abin,pilot,0.0.3,stimulus,low,practice
0.2.1,2017-01-09,11:26:07,2,0,19.94457197189331,abin,pilot,0.0.3,stimulus,low,practice
0.2.1,2017-01-09,11:26:07,2,0,20.522499084472656,abin,pilot,0.0.3,stimulus,low,practice
0.2.1,2017-01-09,11:26:07,2,0,21.10009503364563,abin,pilot,0.0.3,stimulus,low,practice
0.2.1,2017-01-09,11:26:07,2,0,21.677634954452515,abin,pilot,0.0.3,stimulus,low,practice
0.2.1,2017-01-09,11:26:07,2,0,22.254401922225952,abin,pilot,0.0.3,stimulus,low,practice
0.2.1,2017-01-09,11:26:07,2,0,22.831371068954468,abin,pilot,0.0.3,stimulus,low,practice
0.2.1,2017-01-09,11:26:07,2,0,23.407201051712036,abin,pilot,0.0.3,stimulus,low,practice
0.2.1,2017-01-09,11:26:07,2,0,23.984625101089478,abin,pilot,0.0.3,stimulus,low,practice
0.2.1,2017-01-09,11:26:07,2,0,24.562507152557373,abin,pilot,0.0.3,stimulus,low,practice
