psych_version,start_date,start_time,offset,trial,time,sid,condition,version,separation,code,stimulus,phase,value
0.3.0,30/01/2017,14:26:23,9,1,2.632309189,abin,pilot,0.0.7,6st,trial_start,,,
0.3.0,30/01/2017,14:26:23,9,1,3.05040229,abin,pilot,0.0.7,6st,stimulus,medium,test,
0.3.0,30/01/2017,14:26:23,9,1,3.853260326,abin,pilot,0.0.7,6st,stimulus,medium,test,
0.3.0,30/01/2017,14:26:23,9,1,4.072901539,abin,pilot,0.0.7,6st,stream_1,,test,
0.3.0,30/01/2017,14:26:23,9,1,4.560677779,abin,pilot,0.0.7,6st,stream_1,,test,
0.3.0,30/01/2017,14:26:23,9,1,4.594011277,abin,pilot,0.0.7,6st,stream_1,,test,
0.3.0,30/01/2017,14:26:23,9,1,4.628038504,abin,pilot,0.0.7,6st,stream_1,,test,
0.3.0,30/01/2017,14:26:23,9,1,4.644705253,abin,pilot,0.0.7,6st,stream_1,,test,
0.3.0,30/01/2017,14:26:23,9,1,4.653354108,abin,pilot,0.0.7,6st,stimulus,medium,test,
0.3.0,30/01/2017,14:26:23,9,1,4.67803875,abin,pilot,0.0.7,6st,stream_1,,test,
0.3.0,30/01/2017,14:26:23,9,1,4.711372658,abin,pilot,0.0.7,6st,stream_1,,test,
0.3.0,30/01/2017,14:26:23,9,1,4.744706156,abin,pilot,0.0.7,6st,stream_1,,test,
0.3.0,30/01/2017,14:26:23,9,1,4.778063037,abin,pilot,0.0.7,6st,stream_1,,test,
0.3.0,30/01/2017,14:26:23,9,1,4.794729786,abin,pilot,0.0.7,6st,stream_1,,test,
0.3.0,30/01/2017,14:26:23,9,1,4.828063694,abin,pilot,0.0.7,6st,stream_1,,test,
0.3.0,30/01/2017,14:26:23,9,1,4.861397191,abin,pilot,0.0.7,6st,stream_1,,test,
0.3.0,30/01/2017,14:26:23,9,1,4.894731099,abin,pilot,0.0.7,6st,stream_1,,test,
0.3.0,30/01/2017,14:26:23,9,1,4.928064596,abin,pilot,0.0.7,6st,stream_1,,test,
0.3.0,30/01/2017,14:26:23,9,1,4.945528868,abin,pilot,0.0.7,6st,stream_1,,test,
0.3.0,30/01/2017,14:26:23,9,1,4.978862775,abin,pilot,0.0.7,6st,stream_1,,test,
0.3.0,30/01/2017,14:26:23,9,1,5.012196273,abin,pilot,0.0.7,6st,stream_1,,test,
0.3.0,30/01/2017,14:26:23,9,1,5.045530591,abin,pilot,0.0.7,6st,stream_1,,test,
0.3.0,30/01/2017,14:26:23,9,1,5.078864498,abin,pilot,0.0.7,6st,stream_1,,test,
0.3.0,30/01/2017,14:26:23,9,1,5.095531247,abin,pilot,0.0.7,6st,stream_1,,test,
0.3.0,30/01/2017,14:26:23,9,1,5.128865155,abin,pilot,0.0.7,6st,stream_1,,test,
0.3.0,30/01/2017,14:26:23,9,1,5.16282264,abin,pilot,0.0.7,6st,stream_1,,test,
0.3.0,30/01/2017,14:26:23,9,1,5.196156137,abin,pilot,0.0.7,6st,stream_1,,test,
0.3.0,30/01/2017,14:26:23,9,1,5.229489635,abin,pilot,0.0.7,6st,stream_1,,test,
0.3.0,30/01/2017,14:26:23,9,1,5.246156383,abin,pilot,0.0.7,6st,stream_1,,test,
0.3.0,30/01/2017,14:26:23,9,1,5.279489881,abin,pilot,0.0.7,6st,stream_1,,test,
0.3.0,30/01/2017,14:26:23,9,1,5.313972074,abin,pilot,0.0.7,6st,stream_1,,test,
0.3.0,30/01/2017,14:26:23,9,1,5.347310904,abin,pilot,0.0.7,6st,stream_1,,test,
0.3.0,30/01/2017,14:26:23,9,1,5.363977653,abin,pilot,0.0.7,6st,stream_1,,test,
0.3.0,30/01/2017,14:26:23,9,1,5.397311971,abin,pilot,0.0.7,6st,stream_1,,test,
0.3.0,30/01/2017,14:26:23,9,1,5.430646289,abin,pilot,0.0.7,6st,stream_1,,test,
0.3.0,30/01/2017,14:26:23,9,1,5.453554966,abin,pilot,0.0.7,6st,stimulus,medium,test,
0.3.0,30/01/2017,14:26:23,9,1,5.463981427,abin,pilot,0.0.7,6st,stream_1,,test,
0.3.0,30/01/2017,14:26:23,9,1,5.497315335,abin,pilot,0.0.7,6st,stream_1,,test,
0.3.0,30/01/2017,14:26:23,9,1,5.513982084,abin,pilot,0.0.7,6st,stream_1,,test,
0.3.0,30/01/2017,14:26:23,9,1,5.548681708,abin,pilot,0.0.7,6st,stream_1,,test,
0.3.0,30/01/2017,14:26:23,9,1,5.582015205,abin,pilot,0.0.7,6st,stream_1,,test,
0.3.0,30/01/2017,14:26:23,9,1,5.615349113,abin,pilot,0.0.7,6st,stream_1,,test,
0.3.0,30/01/2017,14:26:23,9,1,5.649067423,abin,pilot,0.0.7,6st,stream_1,,test,
0.3.0,30/01/2017,14:26:23,9,1,5.665734172,abin,pilot,0.0.7,6st,stream_1,,test,
0.3.0,30/01/2017,14:26:23,9,1,5.69906808,abin,pilot,0.0.7,6st,stream_1,,test,
0.3.0,30/01/2017,14:26:23,9,1,5.732401577,abin,pilot,0.0.7,6st,stream_1,,test,
0.3.0,30/01/2017,14:26:23,9,1,5.765735075,abin,pilot,0.0.7,6st,stream_1,,test,
0.3.0,30/01/2017,14:26:23,9,1,5.782401823,abin,pilot,0.0.7,6st,stream_1,,test,
0.3.0,30/01/2017,14:26:23,9,1,5.815735731,abin,pilot,0.0.7,6st,stream_1,,test,
0.3.0,30/01/2017,14:26:23,9,1,5.850037004,abin,pilot,0.0.7,6st,stream_1,,test,
0.3.0,30/01/2017,14:26:23,9,1,5.883370912,abin,pilot,0.0.7,6st,stream_1,,test,
0.3.0,30/01/2017,14:26:23,9,1,5.91670441,abin,pilot,0.0.7,6st,stream_1,,test,
0.3.0,30/01/2017,14:26:23,9,1,5.933371158,abin,pilot,0.0.7,6st,stream_1,,test,
0.3.0,30/01/2017,14:26:23,9,1,5.966705476,abin,pilot,0.0.7,6st,stream_1,,test,
0.3.0,30/01/2017,14:26:23,9,1,6.000038974,abin,pilot,0.0.7,6st,stream_1,,test,
0.3.0,30/01/2017,14:26:23,9,1,6.033372881,abin,pilot,0.0.7,6st,stream_1,,test,
0.3.0,30/01/2017,14:26:23,9,1,6.067863689,abin,pilot,0.0.7,6st,stream_1,,test,
0.3.0,30/01/2017,14:26:23,9,1,6.084530438,abin,pilot,0.0.7,6st,stream_1,,test,
0.3.0,30/01/2017,14:26:23,9,1,6.117863935,abin,pilot,0.0.7,6st,stream_1,,test,
0.3.0,30/01/2017,14:26:23,9,1,6.151197843,abin,pilot,0.0.7,6st,stream_1,,test,
0.3.0,30/01/2017,14:26:23,9,1,6.184531751,abin,pilot,0.0.7,6st,stream_1,,test,
0.3.0,30/01/2017,14:26:23,9,1,6.201198499,abin,pilot,0.0.7,6st,stream_1,,test,
0.3.0,30/01/2017,14:26:23,9,1,6.234531997,abin,pilot,0.0.7,6st,stream_1,,test,
0.3.0,30/01/2017,14:26:23,9,1,6.253641364,abin,pilot,0.0.7,6st,stimulus,medium,test,
