weber_version,start_date,start_time,offset,trial,time,sid,condition,version,separation,code,stimulus,stimtrak,value
0.5.0,2017-05-23,12:59:22,1,0,0.019331148358105565,mary,study2,0.0.1,6st,break_start,,,
0.5.0,2017-05-23,12:59:22,2,0,0.6894598310536821,mary,study2,0.0.1,6st,break_start,,,
0.5.0,2017-05-23,12:59:22,3,1,18.32151409364087,mary,study2,0.0.1,6st,trial_start,,,
0.5.0,2017-05-23,12:59:22,3,1,18.326737914479963,mary,study2,0.0.1,6st,experiment_start,,,
0.5.0,2017-05-23,12:59:22,3,1,19.666292428573797,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,12:59:22,3,1,20.040685988347832,mary,study2,0.0.1,6st,stream_1_up,,,
0.5.0,2017-05-23,12:59:22,3,1,20.142297961047007,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,12:59:22,3,1,20.64243038726636,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,12:59:22,3,1,20.679132296872922,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,12:59:22,3,1,20.712467090201244,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,12:59:22,3,1,20.748928442619217,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,12:59:22,3,1,20.782263578135826,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,12:59:22,3,1,20.81933710240446,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,12:59:22,3,1,20.836004327975388,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,12:59:22,3,1,20.86933877911906,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,12:59:22,3,1,20.908617696111833,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,12:59:22,3,1,20.941952147255506,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,12:59:22,3,1,20.980505286441257,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,12:59:22,3,1,21.01384007976958,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,12:59:22,3,1,21.038378281826226,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,12:59:22,3,1,21.07171307515455,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,12:59:22,3,1,21.110511219956607,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,12:59:22,3,1,21.143846697659683,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,12:59:22,3,1,21.180117109946877,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,12:59:22,3,1,21.213986056578506,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,12:59:22,3,1,21.248365887826367,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,12:59:22,3,1,21.265033113397294,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,12:59:22,3,1,21.298367564540968,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,12:59:22,3,1,21.33170235787111,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,12:59:22,3,1,21.365036809012963,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,12:59:22,3,1,21.399310220223924,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,12:59:22,3,1,21.432643986992844,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,12:59:22,3,1,21.470089810298305,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,12:59:22,3,1,21.503570032939024,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,12:59:22,3,1,21.542019147393148,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,12:59:22,3,1,21.57535359853682,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,12:59:22,3,1,21.616605905730466,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,12:59:22,3,1,21.633550644644856,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,12:59:22,3,1,21.666885437974997,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,12:59:22,3,1,21.70369684729667,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,12:59:22,3,1,21.73716714652619,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,12:59:22,3,1,21.770577220910127,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,12:59:22,3,1,21.803911329867333,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,12:59:22,3,1,21.837246123195655,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,12:59:22,3,1,21.87230416831153,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,12:59:22,3,1,21.905638619455203,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,12:59:22,3,1,21.939626989214958,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,12:59:22,3,1,21.972960755985696,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,12:59:22,3,1,21.992226204512917,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,12:59:22,3,1,22.02556065565659,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,12:59:22,3,1,22.066366751505484,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,12:59:22,3,1,22.100189160759328,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,12:59:22,3,1,22.138301905773915,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,12:59:22,3,1,22.15496947353131,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,12:59:22,3,1,22.18935375320507,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,12:59:22,3,1,22.22268854653521,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,12:59:22,3,1,22.25602368205,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,12:59:22,3,1,22.289358817566608,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,12:59:22,3,1,22.322693953083217,mary,study2,0.0.1,6st,stream_1,,,
0.5.0,2017-05-23,12:59:22,3,1,22.35602840422507,mary,study2,0.0.1,6st,stream_1,,,
