weber_version,start_date,start_time,offset,trial,time,sid,condition,version,code,stimulus,phase,stimtrak,value,daq_code
0.5.1-dirty,2017-06-06,11:25:41,1,0,0.006940649112038955,1115,study1,0.3.2,break_start,,,,,253
0.5.1-dirty,2017-06-06,11:25:41,3,0,0.7740185089678562,1115,study1,0.3.2,break_start,,,,,253
0.5.1-dirty,2017-06-06,11:25:41,4,0,1153.6527619906174,1115,study1,0.3.2,break_start,,,,,253
0.5.1-dirty,2017-06-06,11:25:41,5,0,1176.587312339474,1115,study1,0.3.2,break_start,,,,,253
0.5.1-dirty,2017-06-06,11:25:41,6,0,1232.653794321298,1115,study1,0.3.2,break_start,,,,,253
0.5.1-dirty,2017-06-06,11:25:41,7,0,1312.7332501424771,1115,study1,0.3.2,break_start,,,,,253
0.5.1-dirty,2017-06-06,11:25:41,8,0,1373.019309800984,1115,study1,0.3.2,break_start,,,,,253
0.5.1-dirty,2017-06-06,11:25:41,8,0,1373.03008926054,1115,study1,0.3.2,instructions,,,,,12
0.5.1-dirty,2017-06-06,11:25:41,8,0,1376.7775277490546,1115,study1,0.3.2,instructions,,,,,12
0.5.1-dirty,2017-06-06,11:25:41,9,0,1385.157745601904,1115,study1,0.3.2,practice_start,,,,,13
0.5.1-dirty,2017-06-06,11:25:41,9,0,1385.1704360563654,1115,study1,0.3.2,stimulus,,practice,,,9
0.5.1-dirty,2017-06-06,11:25:41,9,0,1387.3733413502177,1115,study1,0.3.2,stream_1,,practice,,,1
0.5.1-dirty,2017-06-06,11:25:41,9,0,1387.733082221247,1115,study1,0.3.2,stream_1_up,,practice,,,3
0.5.1-dirty,2017-06-06,11:25:41,9,0,1387.9704926193062,1115,study1,0.3.2,stimulus,,practice,,,9
0.5.1-dirty,2017-06-06,11:25:41,9,0,1390.2814470989688,1115,study1,0.3.2,stream_1,,practice,,,1
0.5.1-dirty,2017-06-06,11:25:41,9,0,1390.5314495935536,1115,study1,0.3.2,stream_1_up,,practice,,,3
0.5.1-dirty,2017-06-06,11:25:41,9,0,1390.7726463444924,1115,study1,0.3.2,stimulus,,practice,,,9
