weber_version,start_date,start_time,offset,trial,time,sid,condition,deviant,version,separation,code,stimulus,stimtrak,value
0.5.1-5-g094bb7a-dirty,2017-06-01,08:37:38,4,2,9.213766813278198,david,study2,tone,0.0.1,6st,stream_2,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,08:37:38,4,2,9.297101974487305,david,study2,tone,0.0.1,6st,stream_2,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,08:37:38,4,2,9.380436897277832,david,study2,tone,0.0.1,6st,stream_2,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,08:37:38,4,2,9.46377182006836,david,study2,tone,0.0.1,6st,stream_2,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,08:37:38,4,2,9.547107934951782,david,study2,tone,0.0.1,6st,stream_2,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,08:37:38,4,2,9.634541034698486,david,study2,tone,0.0.1,6st,stream_2,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,08:37:38,4,2,9.717875957489014,david,study2,tone,0.0.1,6st,stream_2,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,08:37:38,4,2,9.801210880279541,david,study2,tone,0.0.1,6st,stream_2,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,08:37:38,4,2,9.884546041488647,david,study2,tone,0.0.1,6st,stream_2,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,08:37:38,4,2,9.967880964279175,david,study2,tone,0.0.1,6st,stream_2,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,08:37:38,4,2,10.051216840744019,david,study2,tone,0.0.1,6st,stream_2,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,08:37:38,4,2,10.134552001953125,david,study2,tone,0.0.1,6st,stream_2,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,08:37:38,4,2,10.217886924743652,david,study2,tone,0.0.1,6st,stream_2,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,08:37:38,4,2,10.301223039627075,david,study2,tone,0.0.1,6st,stream_2,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,08:37:38,4,2,10.389210939407349,david,study2,tone,0.0.1,6st,stream_2,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,08:37:38,4,2,10.472546815872192,david,study2,tone,0.0.1,6st,stream_2,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,08:37:38,4,2,10.555881977081299,david,study2,tone,0.0.1,6st,stream_2,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,08:37:38,4,2,10.639452934265137,david,study2,tone,0.0.1,6st,stream_2,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,08:37:38,4,2,10.722790002822876,david,study2,tone,0.0.1,6st,stream_2,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,08:37:38,4,2,10.80612587928772,david,study2,tone,0.0.1,6st,stream_2,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,08:37:38,4,2,10.891167879104614,david,study2,tone,0.0.1,6st,stream_2,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,08:37:38,4,2,10.976124048233032,david,study2,tone,0.0.1,6st,stream_2,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,08:37:38,4,2,11.059459924697876,david,study2,tone,0.0.1,6st,stream_2,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,08:37:38,4,2,11.142794847488403,david,study2,tone,0.0.1,6st,stream_2,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,08:37:38,4,2,11.22613000869751,david,study2,tone,0.0.1,6st,stream_2,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,08:37:38,4,2,11.309464931488037,david,study2,tone,0.0.1,6st,stream_2,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,08:37:38,4,2,11.395092964172363,david,study2,tone,0.0.1,6st,stream_2,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,08:37:38,4,2,11.47842788696289,david,study2,tone,0.0.1,6st,stream_2,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,08:37:38,4,2,11.5640230178833,david,study2,tone,0.0.1,6st,stream_2,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,08:37:38,4,2,11.647357940673828,david,study2,tone,0.0.1,6st,stream_2,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,08:37:38,4,2,11.730692863464355,david,study2,tone,0.0.1,6st,stream_2,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,08:37:38,4,2,11.814028024673462,david,study2,tone,0.0.1,6st,stream_2,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,08:37:38,4,2,11.899394035339355,david,study2,tone,0.0.1,6st,stream_2,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,08:37:38,4,2,11.9827299118042,david,study2,tone,0.0.1,6st,stream_2,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,08:37:38,4,2,12.066064834594727,david,study2,tone,0.0.1,6st,stream_2,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,08:37:38,4,2,12.150588035583496,david,study2,tone,0.0.1,6st,stream_2,,,
