weber_version,start_date,start_time,offset,trial,time,sid,condition,version,code,stimulus,phase,stimtrak,value,daq_code
0.5.1-dirty,2017-06-06,14:02:12,11,0,446.9988519205581,1116,study1,0.3.2,stimulus,,practice,,,9
0.5.1-dirty,2017-06-06,14:02:12,11,0,449.09667188106323,1116,study1,0.3.2,stream_1,,practice,,,1
0.5.1-dirty,2017-06-06,14:02:12,11,0,449.2174736721463,1116,study1,0.3.2,stream_1_up,,practice,,,3
0.5.1-dirty,2017-06-06,14:02:12,11,0,449.798913900313,1116,study1,0.3.2,stimulus,,practice,,,9
0.5.1-dirty,2017-06-06,14:02:12,11,0,451.8676851987275,1116,study1,0.3.2,stream_1,,practice,,,1
0.5.1-dirty,2017-06-06,14:02:12,11,0,452.0210106805316,1116,study1,0.3.2,stream_1_up,,practice,,,3
0.5.1-dirty,2017-06-06,14:02:12,11,0,452.59903660540294,1116,study1,0.3.2,stimulus,,practice,,,9
0.5.1-dirty,2017-06-06,14:02:12,11,0,454.9636879607315,1116,study1,0.3.2,stream_1,,practice,,,1
0.5.1-dirty,2017-06-06,14:02:12,11,0,455.0970271100123,1116,study1,0.3.2,stream_1_up,,practice,,,3
0.5.1-dirty,2017-06-06,14:02:12,11,0,455.3991051423509,1116,study1,0.3.2,stimulus,,practice,,,9
0.5.1-dirty,2017-06-06,14:02:12,11,0,457.6784020513187,1116,study1,0.3.2,stream_1,,practice,,,1
0.5.1-dirty,2017-06-06,14:02:12,11,0,457.7988064193232,1116,study1,0.3.2,stream_1_up,,practice,,,3
0.5.1-dirty,2017-06-06,14:02:12,11,0,458.1991808066887,1116,study1,0.3.2,stimulus,,practice,,,9
0.5.1-dirty,2017-06-06,14:02:12,11,0,460.60034091715715,1116,study1,0.3.2,stream_1,,practice,,,1
0.5.1-dirty,2017-06-06,14:02:12,11,0,460.73367550491093,1116,study1,0.3.2,stream_1_up,,practice,,,3
0.5.1-dirty,2017-06-06,14:02:12,11,0,461.00209174543306,1116,study1,0.3.2,stimulus,,practice,,,9
0.5.1-dirty,2017-06-06,14:02:12,11,0,463.38798128747476,1116,study1,0.3.2,stream_1,,practice,,,1
0.5.1-dirty,2017-06-06,14:02:12,11,0,463.54136892009046,1116,study1,0.3.2,stream_1_up,,practice,,,3
0.5.1-dirty,2017-06-06,14:02:12,11,0,463.80214574251295,1116,study1,0.3.2,stimulus,,practice,,,9
0.5.1-dirty,2017-06-06,14:02:12,11,0,466.34142291717035,1116,study1,0.3.2,stream_1,,practice,,,1
0.5.1-dirty,2017-06-06,14:02:12,11,0,466.4612619408672,1116,study1,0.3.2,stream_1_up,,practice,,,3
0.5.1-dirty,2017-06-06,14:02:12,11,0,466.6035590747724,1116,study1,0.3.2,stimulus,,practice,,,9
0.5.1-dirty,2017-06-06,14:02:12,11,0,469.10046308056553,1116,study1,0.3.2,stream_1,,practice,,,1
0.5.1-dirty,2017-06-06,14:02:12,11,0,469.219595922792,1116,study1,0.3.2,stream_1_up,,practice,,,3
