weber_version,start_date,start_time,offset,trial,time,sid,condition,deviant,version,separation,code,stimulus,stimtrak,value
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,8.100098133087158,david,study2,gap,0.0.1,6st,stream_2,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,8.183433055877686,david,study2,gap,0.0.1,6st,stream_2,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,8.266767978668213,david,study2,gap,0.0.1,6st,stream_2,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,8.350104093551636,david,study2,gap,0.0.1,6st,stream_2,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,8.43710207939148,david,study2,gap,0.0.1,6st,stream_2,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,8.520437002182007,david,study2,gap,0.0.1,6st,stream_2,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,8.603772163391113,david,study2,gap,0.0.1,6st,stream_2,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,8.68710708618164,david,study2,gap,0.0.1,6st,stream_2,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,8.770442008972168,david,study2,gap,0.0.1,6st,stream_2,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,8.856915950775146,david,study2,gap,0.0.1,6st,stream_2,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,8.940251111984253,david,study2,gap,0.0.1,6st,stream_2,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,9.02358603477478,david,study2,gap,0.0.1,6st,stream_2,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,9.107574939727783,david,study2,gap,0.0.1,6st,stream_2,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,9.19091010093689,david,study2,gap,0.0.1,6st,stream_2,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,9.274245023727417,david,study2,gap,0.0.1,6st,stream_2,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,9.357579946517944,david,study2,gap,0.0.1,6st,stream_2,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,9.44091510772705,david,study2,gap,0.0.1,6st,stream_2,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,9.524250984191895,david,study2,gap,0.0.1,6st,stream_2,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,9.590919017791748,david,study2,gap,0.0.1,6st,stream_1,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,9.624259948730469,david,study2,gap,0.0.1,6st,stream_2_up,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,10.091871976852417,david,study2,gap,0.0.1,6st,stream_1,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,10.175207138061523,david,study2,gap,0.0.1,6st,stream_1,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,10.25854206085205,david,study2,gap,0.0.1,6st,stream_1,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,10.341877937316895,david,study2,gap,0.0.1,6st,stream_1,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,10.425213098526001,david,study2,gap,0.0.1,6st,stream_1,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,10.508548974990845,david,study2,gap,0.0.1,6st,stream_1,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,10.592474937438965,david,study2,gap,0.0.1,6st,stream_1,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,10.675810098648071,david,study2,gap,0.0.1,6st,stream_1,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,10.759145021438599,david,study2,gap,0.0.1,6st,stream_1,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,10.859441041946411,david,study2,gap,0.0.1,6st,stream_1,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,10.943392038345337,david,study2,gap,0.0.1,6st,stream_1,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,11.026726961135864,david,study2,gap,0.0.1,6st,stream_1,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,11.11006212234497,david,study2,gap,0.0.1,6st,stream_1,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,11.193397045135498,david,study2,gap,0.0.1,6st,stream_1,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,11.276731967926025,david,study2,gap,0.0.1,6st,stream_1,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,11.360067129135132,david,study2,gap,0.0.1,6st,stream_1,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,11.44340205192566,david,study2,gap,0.0.1,6st,stream_1,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,11.526745080947876,david,study2,gap,0.0.1,6st,stream_1,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,11.610080003738403,david,study2,gap,0.0.1,6st,stream_1,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,11.693940162658691,david,study2,gap,0.0.1,6st,stream_1,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,11.778365135192871,david,study2,gap,0.0.1,6st,stream_1,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,11.861700057983398,david,study2,gap,0.0.1,6st,stream_1,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,11.945035934448242,david,study2,gap,0.0.1,6st,stream_1,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,12.030702114105225,david,study2,gap,0.0.1,6st,stream_1,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,12.114037036895752,david,study2,gap,0.0.1,6st,stream_1,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,12.15153694152832,david,study2,gap,0.0.1,6st,stream_2,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,12.234873056411743,david,study2,gap,0.0.1,6st,stream_1_up,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,12.652878999710083,david,study2,gap,0.0.1,6st,stream_2,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,12.73621416091919,david,study2,gap,0.0.1,6st,stream_2,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,12.819549083709717,david,study2,gap,0.0.1,6st,stream_2,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,12.902891159057617,david,study2,gap,0.0.1,6st,stream_2,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,12.988908052444458,david,study2,gap,0.0.1,6st,stream_2,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,13.075483083724976,david,study2,gap,0.0.1,6st,stream_2,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,13.158818006515503,david,study2,gap,0.0.1,6st,stream_2,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,13.243327140808105,david,study2,gap,0.0.1,6st,stream_2,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,13.331666946411133,david,study2,gap,0.0.1,6st,stream_2,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,13.41577696800232,david,study2,gap,0.0.1,6st,stream_2,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,13.499112129211426,david,study2,gap,0.0.1,6st,stream_2,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,13.582447052001953,david,study2,gap,0.0.1,6st,stream_2,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,13.665783166885376,david,study2,gap,0.0.1,6st,stream_2,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,13.706575155258179,david,study2,gap,0.0.1,6st,gap,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,13.749444007873535,david,study2,gap,0.0.1,6st,stream_2,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,13.832778930664062,david,study2,gap,0.0.1,6st,stream_2,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,13.916114091873169,david,study2,gap,0.0.1,6st,stream_2,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,13.999449014663696,david,study2,gap,0.0.1,6st,stream_2,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,14.082783937454224,david,study2,gap,0.0.1,6st,stream_2,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,14.16611909866333,david,study2,gap,0.0.1,6st,stream_2,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,14.249454021453857,david,study2,gap,0.0.1,6st,stream_2,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,14.335001945495605,david,study2,gap,0.0.1,6st,stream_2,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,14.421993970870972,david,study2,gap,0.0.1,6st,stream_2_up,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,14.505329132080078,david,study2,gap,0.0.1,6st,stream_1,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,15.00739598274231,david,study2,gap,0.0.1,6st,stream_1,,,
0.5.1-5-g094bb7a-dirty,2017-06-01,07:13:43,4,1,15.090731143951416,david,study2,gap,0.0.1,6st,stream_1,,,
